# Calibration design v2 -- generated by generate_pmma_calib.py
# campaign=PMMA_CALIB_physical family=glassy_pmma_calib label=PMMA XT calibration (physical parameters, 20 um depth)
# method=factorial n_runs=31 n_factors=5
# active_factors=psi,soft_drop,sigma_scale,mu_eff,phi
#   psi in [0, 20] (lin) Drucker-Prager dilation angle; reads on A_pile/A_groove
#   soft_drop in [8, 25] (lin) intrinsic softening depth at sigma_y0 fixed (post-yield SHAPE)
#   sigma_scale in [1, 1.8] (lin) multiplies the whole yield table (post-yield LEVEL)
#   mu_eff in [0.15, 0.45] (lin) effective friction coefficient at p_ref (friction LEVEL)
#   phi in [0.2, 0.85] (lin) alpha / mu_eff: share of the friction carried by the pressure-independent coefficient (friction SHAPE)
# levels: psi=10,15,20 sigma_scale=1.3,1.55,1.8 mu_eff=0.22,0.31,0.4
# held: soft_drop=25 (probed at 18,8) phi=0.3182 (probed at 0.5455,0.7727)
# frozen=E_MPa=3300.0,baseline_family=glassy_pmma,eps_max=2.0,eps_soft=0.06,flow_stress_ratio=1.0,friction_angle_deg=25.0,h=0.45,mu_cap=0.6,mu_eff_at_p_ref=FACTOR since calib v2 (was frozen at 0.22),n_points=60,note_psi=the only factor that is FROZEN in CDP; that is why CDP cannot host this study,note_sigma_scale=scales sigma_y0 and soft_drop together (pure stress scale),nu=0.37,p_ref_MPa=400.0,rho=1.19e-09,scratch_depth_mm=-0.02,sigma_y0_MPa=103.0
# geometry: tip_radius=0.2 mm cone_angle=60 deg scratch_depth=-0.02 mm
# NOTE: p_* columns are traceability only; the Abaqus side re-derives
#       them in-kernel from the g_* columns. Every row here IS
#       reachable through g_*, unlike the v1 BASE and PROBE rows.
id,campaign,family,method,block,priority,traj,step,moved,sign,u_psi,u_soft_drop,u_sigma_scale,u_mu_eff,u_phi,g_psi,g_soft_drop,g_sigma_scale,g_mu_eff,g_phi,p_E,p_Q,p_alpha,p_attack_angle_deg,p_b,p_dilation_angle,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_rho,p_sigma_scale,p_sigma_y0,p_sigma_y_floor,p_soft_drop,p_tau0
00001,PMMA_CALIB_physical,glassy_pmma_calib,factorial,BASE,0,0,0,,0,0.5,1,0.375,0.2333333333,0.1818461538,10,25,1.3,0.22,0.3182,3300,0,0.070004,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3182,1.19e-09,1.3,133.9,101.4,32.5,59.9984
00002,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,1,0,0,,0,0.5,1,0.375,0.8333333333,0.1818461538,10,25,1.3,0.4,0.3182,3300,0,0.12728,30,8,10,2,0.06,1,25,0.45,0.4,60,0.37,400,0.3182,1.19e-09,1.3,133.9,101.4,32.5,109.088
00003,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,1,0,0,,0,0.5,1,1,0.2333333333,0.1818461538,10,25,1.8,0.22,0.3182,3300,0,0.070004,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3182,1.19e-09,1.8,185.4,140.4,45,59.9984
00004,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,1,0,0,,0,0.5,1,1,0.8333333333,0.1818461538,10,25,1.8,0.4,0.3182,3300,0,0.12728,30,8,10,2,0.06,1,25,0.45,0.4,60,0.37,400,0.3182,1.19e-09,1.8,185.4,140.4,45,109.088
00005,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,1,0,0,,0,1,1,0.375,0.2333333333,0.1818461538,20,25,1.3,0.22,0.3182,3300,0,0.070004,30,8,20,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3182,1.19e-09,1.3,133.9,101.4,32.5,59.9984
00006,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,1,0,0,,0,1,1,0.375,0.8333333333,0.1818461538,20,25,1.3,0.4,0.3182,3300,0,0.12728,30,8,20,2,0.06,1,25,0.45,0.4,60,0.37,400,0.3182,1.19e-09,1.3,133.9,101.4,32.5,109.088
00007,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,1,0,0,,0,1,1,1,0.2333333333,0.1818461538,20,25,1.8,0.22,0.3182,3300,0,0.070004,30,8,20,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3182,1.19e-09,1.8,185.4,140.4,45,59.9984
00008,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,1,0,0,,0,1,1,1,0.8333333333,0.1818461538,20,25,1.8,0.4,0.3182,3300,0,0.12728,30,8,20,2,0.06,1,25,0.45,0.4,60,0.37,400,0.3182,1.19e-09,1.8,185.4,140.4,45,109.088
00009,PMMA_CALIB_physical,glassy_pmma_calib,factorial,SOFT,2,0,0,,0,0.75,0.5882352941,0.6875,0.5333333333,0.1818461538,15,18,1.55,0.31,0.3182,3300,0,0.098642,30,8,15,2,0.06,1,25,0.45,0.31,60,0.37,400,0.3182,1.19e-09,1.55,159.65,131.75,27.9,84.5432
00010,PMMA_CALIB_physical,glassy_pmma_calib,factorial,SOFT,2,0,0,,0,0.75,0,0.6875,0.5333333333,0.1818461538,15,8,1.55,0.31,0.3182,3300,0,0.098642,30,8,15,2,0.06,1,25,0.45,0.31,60,0.37,400,0.3182,1.19e-09,1.55,159.65,147.25,12.4,84.5432
00011,PMMA_CALIB_physical,glassy_pmma_calib,factorial,SPLIT,2,0,0,,0,0.75,1,0.6875,0.5333333333,0.5315384615,15,25,1.55,0.31,0.5455,3300,0,0.169105,30,8,15,2,0.06,1,25,0.45,0.31,60,0.37,400,0.5455,1.19e-09,1.55,159.65,120.9,38.75,56.358
00012,PMMA_CALIB_physical,glassy_pmma_calib,factorial,SPLIT,2,0,0,,0,0.75,1,0.6875,0.5333333333,0.8810769231,15,25,1.55,0.31,0.7727,3300,0,0.239537,30,8,15,2,0.06,1,25,0.45,0.31,60,0.37,400,0.7727,1.19e-09,1.55,159.65,120.9,38.75,28.1852
00013,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,1,0.375,0.5333333333,0.1818461538,10,25,1.3,0.31,0.3182,3300,0,0.098642,30,8,10,2,0.06,1,25,0.45,0.31,60,0.37,400,0.3182,1.19e-09,1.3,133.9,101.4,32.5,84.5432
00014,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,1,0.6875,0.2333333333,0.1818461538,10,25,1.55,0.22,0.3182,3300,0,0.070004,30,8,10,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3182,1.19e-09,1.55,159.65,120.9,38.75,59.9984
00015,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,1,0.6875,0.5333333333,0.1818461538,10,25,1.55,0.31,0.3182,3300,0,0.098642,30,8,10,2,0.06,1,25,0.45,0.31,60,0.37,400,0.3182,1.19e-09,1.55,159.65,120.9,38.75,84.5432
00016,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,1,0.6875,0.8333333333,0.1818461538,10,25,1.55,0.4,0.3182,3300,0,0.12728,30,8,10,2,0.06,1,25,0.45,0.4,60,0.37,400,0.3182,1.19e-09,1.55,159.65,120.9,38.75,109.088
00017,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.5,1,1,0.5333333333,0.1818461538,10,25,1.8,0.31,0.3182,3300,0,0.098642,30,8,10,2,0.06,1,25,0.45,0.31,60,0.37,400,0.3182,1.19e-09,1.8,185.4,140.4,45,84.5432
00018,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.75,1,0.375,0.2333333333,0.1818461538,15,25,1.3,0.22,0.3182,3300,0,0.070004,30,8,15,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3182,1.19e-09,1.3,133.9,101.4,32.5,59.9984
00019,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.75,1,0.375,0.5333333333,0.1818461538,15,25,1.3,0.31,0.3182,3300,0,0.098642,30,8,15,2,0.06,1,25,0.45,0.31,60,0.37,400,0.3182,1.19e-09,1.3,133.9,101.4,32.5,84.5432
00020,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.75,1,0.375,0.8333333333,0.1818461538,15,25,1.3,0.4,0.3182,3300,0,0.12728,30,8,15,2,0.06,1,25,0.45,0.4,60,0.37,400,0.3182,1.19e-09,1.3,133.9,101.4,32.5,109.088
00021,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.75,1,0.6875,0.2333333333,0.1818461538,15,25,1.55,0.22,0.3182,3300,0,0.070004,30,8,15,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3182,1.19e-09,1.55,159.65,120.9,38.75,59.9984
00022,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.75,1,0.6875,0.5333333333,0.1818461538,15,25,1.55,0.31,0.3182,3300,0,0.098642,30,8,15,2,0.06,1,25,0.45,0.31,60,0.37,400,0.3182,1.19e-09,1.55,159.65,120.9,38.75,84.5432
00023,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.75,1,0.6875,0.8333333333,0.1818461538,15,25,1.55,0.4,0.3182,3300,0,0.12728,30,8,15,2,0.06,1,25,0.45,0.4,60,0.37,400,0.3182,1.19e-09,1.55,159.65,120.9,38.75,109.088
00024,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.75,1,1,0.2333333333,0.1818461538,15,25,1.8,0.22,0.3182,3300,0,0.070004,30,8,15,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3182,1.19e-09,1.8,185.4,140.4,45,59.9984
00025,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.75,1,1,0.5333333333,0.1818461538,15,25,1.8,0.31,0.3182,3300,0,0.098642,30,8,15,2,0.06,1,25,0.45,0.31,60,0.37,400,0.3182,1.19e-09,1.8,185.4,140.4,45,84.5432
00026,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,0.75,1,1,0.8333333333,0.1818461538,15,25,1.8,0.4,0.3182,3300,0,0.12728,30,8,15,2,0.06,1,25,0.45,0.4,60,0.37,400,0.3182,1.19e-09,1.8,185.4,140.4,45,109.088
00027,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,1,1,0.375,0.5333333333,0.1818461538,20,25,1.3,0.31,0.3182,3300,0,0.098642,30,8,20,2,0.06,1,25,0.45,0.31,60,0.37,400,0.3182,1.19e-09,1.3,133.9,101.4,32.5,84.5432
00028,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,1,1,0.6875,0.2333333333,0.1818461538,20,25,1.55,0.22,0.3182,3300,0,0.070004,30,8,20,2,0.06,1,25,0.45,0.22,60,0.37,400,0.3182,1.19e-09,1.55,159.65,120.9,38.75,59.9984
00029,PMMA_CALIB_physical,glassy_pmma_calib,factorial,CORE,3,0,0,,0,1,1,0.6875,0.5333333333,0.1818461538,20,25,1.55,0.31,0.3182,3300,0,0.098642,30,8,20,2,0.06,1,25,0.45,0.31,60,0.37,400,0.3182,1.19e-09,1.55,159.65,120.9,38.75,84.5432
